,username,like,reply,retweet,time,text,status
@AgwSnsJp-2023-04-30T10:00:01.000Z,@AgwSnsJp,220,19,1041,2023-04-30T10:00:01.000Z,"Against War
@AgwSnsJp
·
1h
／
 #AgainstWar
リリース記念 #RTキャンペーン
第二弾
＼

抽選で #アマギフ 1万円を2名様に
1000円を5名様に #プレゼント

応募方法
①
@AgwSnsJP
 をフォロー
②このツイートをRT 

『#アゲインストウォーDL祭り』 と
ゲーム内プロフィール画像
をつけてリプライすると当選確率UP!
#AGW
19
1,041
220
6,263",1652613768508231682
@AgwSnsJp-2023-04-27T10:00:00.000Z,@AgwSnsJp,943,131,4809,2023-04-27T10:00:00.000Z,"Against War
@AgwSnsJp
·
Apr 27
／
 #AgainstWar
リリース記念 #RTキャンペーン
第一弾
＼

抽選で #アマギフ 1万円を2名様に
1000円を5名様に #プレゼント

応募方法
①
@AgwSnsJP
 をフォロー
②このツイートをRT 

『#アゲインストウォーDL祭り』 と
ゲーム内プロフィール画像
をつけてリプライすると当選確率UP!
#AGW
131
4,809
943
31K",1651526600939167745
@AgwSns-2023-04-30T09:00:01.000Z,@AgwSns,1,0,0,2023-04-30T09:00:01.000Z,"Against War
@AgwSns
·
2h
【Against War Tips】
About Game system.

""Simple and straightforward""

Simply flick a card that is drawn from your deck,
If it's a magic card, it will be activated immedieately.
If it's a troops card, it will go straight to the enemy's castle!

#AGW
1
34",1652598668816531458
@AgwSns-2023-04-29T09:00:01.000Z,@AgwSns,6,0,1,2023-04-29T09:00:01.000Z,"Against War
@AgwSns
·
Apr 29
【Against War Tips】

About the cards.
Make your own deck from 90 different cards!

Combine infantries, cavalries, siege towers, trebuchets, and more to forge your own strategy!

#AGW
1
6
111",1652236284285288449
@AgwSns-2023-04-26T09:30:00.000Z,@AgwSns,10,0,3,2023-04-26T09:30:00.000Z,"Against War
@AgwSns
·
Apr 26
A letter from producer

Finally, the long-awaited global launch is coming tomorrow!
Right before the release, our producer has sent a letter for all commanders.

#AGW #AgainstWar
3
10
410",1651156664178061312
@AgwSns-2023-04-27T09:15:00.000Z,@AgwSns,4,1,1,2023-04-27T09:15:00.000Z,"Against War
@AgwSns
·
Apr 27
【Season Event】
The current 1st season is starting 
During the season, you can advance the ""AGAINST PASS"" and receive various rewards depending on the number of ""Pass Points"" obtained through online battles! 
Battle a lot and advance your ""AGAINST PASS""! 

#AGW #AgainstWar
1
1
4
240",1651515276892991488
@AgwSns-2023-04-27T09:45:00.000Z,@AgwSns,3,0,1,2023-04-27T09:45:00.000Z,"Against War
@AgwSns
·
Apr 27
Survey Now Open

Attention Commanders! 
Please share your valuable feedback by clicking the ""User Feedback"" button on the in-game lobby screen.
Thank you for your participation!

#AGW #AgainstWar
1
3
158",1651522826070003712
@RIRI_RARA422-2023-04-27T06:27:28.000Z,@RIRI_RARA422,2,0,0,2023-04-27T06:27:28.000Z,"リリ'ララ ~流離日記~
@RIRI_RARA422
·
Apr 27
#AGW
音量注意！！

『Twitter』押しても…
アクセス出来ない不具合！
2
480",1651473115401326592
@AgwSnsJp-2023-04-25T15:00:03.000Z,@AgwSnsJp,675,8,5009,2023-04-25T15:00:03.000Z,"Against War
@AgwSnsJp
·
Apr 25
／
 #AgainstWar
リリース直前 #RTキャンペーン 第二弾
12日目
＼

▼応募方法
①
@AgwSnsJP
 をフォロー
②このツイートをRT 
③https://bit.ly/3n4ZpBM
上記サイトからTwitter連携をしてその場で抽選!

#アマギフ １万円がその場で当たる! 
RTが多いほどいいことが…! 
 
#AGW #事前登録
8
5,009
675
47.1K",1650877338459176960
@_Agenda2030-2023-04-25T08:53:23.000Z,@_Agenda2030,4,1,4,2023-04-25T08:53:23.000Z,"Agenda2030
@_Agenda2030
·
Apr 25
Did they say it was colder in pre-industrial #London ?

#ClimateScam #Agenda2030 #AGW #Fake $cience
1
4
4
175",1650785062898610176
